不规范记录
Tobias James Meadows,TJM0328,Tobias.James.Meadows@dtaa.com,MechanicalEngineer,,1,6 - Manufacturing_Government,2 - ManufacturingEngineering,,Jane Sarah Barron,
Nolan Jelani Merritt,NJM0440,Nolan.Jelani.Merritt@dtaa.com,PurchasingClerk,Project 177,1,10 - PurchasingAndContracts,2 - Pricing,,Halla Ursula Murphy,
Deborah Serina Bryan,DSB0245,Deborah.Serina.Bryan@dtaa.com,AdministrativeAssistant,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,,Jason Amery Franco,
Maggie Nomlanga Christensen,MNC0433,Maggie.Nomlanga.Christensen@dtaa.com,AdministrativeAssistant,,1,10 - PurchasingAndContracts,1 - Purchasing,,Brenden Harper Mccray,
Igor Walter Gaines,IWG0058,Igor.Walter.Gaines@dtaa.com,ProjectManager,Project 155,1,2 - ResearchAndEngineering_Commercial,1 - ProjectManagement,,Nolan Isaiah Mason,
Emi Lynn Banks,ELB0033,Emi.Lynn.Banks@dtaa.com,AdministrativeAssistant,,1,1 - Adminstration,5 - Security,,Peter Nicholas Livingston,
Mari Faith Lester,MFL0355,Mari.Faith.Lester@dtaa.com,Manager,Project 171,1,7 - Finance,1 - Accounting,,Brady Vincent Cabrera,
Halla Sybil Howe,HSH0292,Halla.Sybil.Howe@dtaa.com,MechanicalEngineer,,1,5 - Manufacturing_Commercial,2 - ManufacturingEngineering,,Palmer Marvin Gibbs,
Fitzgerald Melvin Neal,FMN0013,Fitzgerald.Melvin.Neal@dtaa.com,AdministrativeAssistant,,1,1 - Adminstration,,,Tallulah Leslie Keith,
Shaine Dorothy Woodard,SDW0370,Shaine.Dorothy.Woodard@dtaa.com,Director,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,,Caesar Moses Shelton,
Wynter Nadine Rowland,WNR0091,Wynter.Nadine.Rowland@dtaa.com,AdministrativeAssistant,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,,Ursa Melinda Bentley,
Jack Asher Scott,JAS0353,Jack.Asher.Scott@dtaa.com,Engineer,Project 146,1,6 - Manufacturing_Government,4 - QualityControl,,Ulric Channing Gross,
Quentin Ciaran Dickerson,QCD0386,Quentin.Ciaran.Dickerson@dtaa.com,AdministrativeAssistant,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,,Shaine Dorothy Woodard,
Kylan Melinda Rose,KMR0373,Kylan.Melinda.Rose@dtaa.com,Mathematician,,1,8 - SalesAndMarketing_Commercial,1 - MarketAnalysis,,Malcolm Russell Sharpe,
Palmer Marvin Gibbs,PMG0284,Palmer.Marvin.Gibbs@dtaa.com,Manager,Project 126,1,5 - Manufacturing_Commercial,2 - ManufacturingEngineering,,Bruce Marshall Blankenship,
Deborah Madaline Horton,DMH0011,Deborah.Madaline.Horton@dtaa.com,VicePresident,Project 167,1,9 - SalesAndMarketing_Government,,,Lydia Serena Lucas,
Mia Georgia Berger,MGB0326,Mia.Georgia.Berger@dtaa.com,AdministrativeAssistant,,1,6 - Manufacturing_Government,2 - ManufacturingEngineering,,Jane Sarah Barron,
Allegra April Bates,AAB0398,Allegra.April.Bates@dtaa.com,AdministrativeAssistant,,1,9 - SalesAndMarketing_Government,,,Deborah Madaline Horton,
Sean Zephania Golden,SZG0325,Sean.Zephania.Golden@dtaa.com,IndustrialEngineer,,1,6 - Manufacturing_Government,1 - IndustrialEngineering,,Tallulah Natalie Ramirez,
Kessie Lucy Gonzalez,KLG0439,Kessie.Lucy.Gonzalez@dtaa.com,Statistician,,1,10 - PurchasingAndContracts,2 - Pricing,,Halla Ursula Murphy,
Aristotle Charles Hull,ACH0008,Aristotle.Charles.Hull@dtaa.com,VicePresident,,1,6 - Manufacturing_Government,,,Lydia Serena Lucas,
Roth Leo Reed,RLR0365,Roth.Leo.Reed@dtaa.com,Economist,Project 167,1,7 - Finance,3 - FinancialPlanning,,Xerxes Bell Hancock,
Omar Galvin Doyle,OGD0015,Omar.Galvin.Doyle@dtaa.com,Director,,1,1 - Adminstration,2 - EmployeeRelations,,Tallulah Leslie Keith,
Reed Charles Fletcher,RCF0054,Reed.Charles.Fletcher@dtaa.com,Director,,1,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,,Vance Sawyer Fischer,
Isabella Samantha Rogers,ISR0021,Isabella.Samantha.Rogers@dtaa.com,HumanResourceSpecialist,Project 142,1,1 - Adminstration,1 - Personnel,,Alisa Cleo Jacobson,
Ulric Channing Gross,UCG0322,Ulric.Channing.Gross@dtaa.com,Manager,,1,6 - Manufacturing_Government,4 - QualityControl,,Aristotle Charles Hull,
Latifah Renee Benson,LRB0372,Latifah.Renee.Benson@dtaa.com,Statistician,,1,8 - SalesAndMarketing_Commercial,1 - MarketAnalysis,,Malcolm Russell Sharpe,
Theodore Kuame Owens,TKO0417,Theodore.Kuame.Owens@dtaa.com,AdministrativeAssistant,,1,9 - SalesAndMarketing_Government,3 - FieldService,,Denton Colin Burch,
