['1'- '1 - Adminstration'- '4 - Safety'- '1 - Medical'],James Linus Arnold,BDP0031,JLA0030,JCL0446,LRT0447,DRS0032,5
['1'- '1 - Adminstration'- '4 - Safety'- '2 - Medical'],Travis Hasad Berg,FGK1026,JDH1027,KRH1028,CCG1025,THB0987,5
['1'- '1 - Adminstration'- '4 - Safety'- '3 - Medical'],Neil Hamish Hicks,KDN1740,BGW1739,SVA1742,NSC1741,NHH1704,5
['1'- '1 - Adminstration'- '4 - Safety'- '4 - Medical'],Zelda Jescie Atkinson,SSO2406,DCW2405,CLR2407,CNW2408,ZJA2373,5
['1'- '1 - Adminstration'- '4 - Safety'- '5 - Medical'],Dustin Walter Cole,CTH3020,UMM3017,CBB3018,DWC2994,JSH3019,5
['1'- '1 - Adminstration'- '4 - Safety'- '6 - Medical'],Cathleen Illana Stanton,RLK3490,CWH3487,JGR3488,CIS3471,CCH3489,5
['1'- '1 - Adminstration'- '4 - Safety'- '7 - Medical'],Lev Myles Harrington,JLM3847,NBF3844,DBB3846,LMH3831,MSP3845,5
['1'- '1 - Adminstration'- '5 - Security'- '1 - BuildingSecurity'],Malachi Herrod Henson,RAB0455,IIW0036,MJK0037,AKH0454,WTF0449,MFB0040,LBB0453,MHH0034,KCF0450,SJR0452,RGP0451,BMH0457,TPM0039,BCC0456,CWH0038,RME0448,16
['1'- '1 - Adminstration'- '5 - Security'- '10 - ElectronicSecurity'],Lois Rhonda Snow,QJF3038,AVP3044,LCS3042,JCB3054,BGB3045,SLB3039,BPN3051,APC3043,CND3037,INL3041,FZB3046,EPI3052,NSC3036,JYM3047,LRS2996,WOV3040,CAM3050,STC3053,CCB3055,CAG3049,TAM3048,21
['1'- '1 - Adminstration'- '5 - Security'- '11 - BuildingSecurity'],Idona Kathleen Herring,IKH3472,AGM3504,CMB3499,PGF3491,CIS3505,HBC3497,YRA3503,HQB3494,NCT3492,GFK3498,MCW3493,CSM3502,AKS3496,SDB3500,GLC3495,NWO3501,16
['1'- '1 - Adminstration'- '5 - Security'- '12 - BuildingSecurity'],Yvonne Kellie Walters,YKW3832,SAB3860,JAY3851,RBG3850,LEC3857,CQA3849,SAM3855,MLP3859,SCH3858,CRH3848,PDK3856,MWK3854,CKD3861,ADB3853,SAM3862,JBW3852,16
