employee_name,user_id,O,C,E,A,N
Nicholas Fletcher Pruitt,NFP2441,34,39,38,36,21
Abraham Dante Rodgers,ADR1517,36,39,13,19,27
Medge Wilma Blackburn,MWB4000,27,14,44,22,34
Meghan Laurel Salazar,MLS2856,35,49,22,45,28
Beau Todd Romero,BTR2026,15,15,41,39,27
Zephania Chaim Terry,ZCT1009,35,39,32,14,31
Sierra Emily Mendez,SEM1983,42,19,23,31,22
Bell Daria White,BDW1459,14,15,21,23,28
Fulton August Jackson,FAJ3101,40,50,43,18,28
Carl Louis Rice,CLR1239,46,44,38,44,23
Lucius Orlando Patton,LOP1708,20,23,38,42,33
Garth Kenyon Kirkland,GKK2422,42,39,47,10,37
Micah Yoshio Bass,MYB3817,21,36,40,40,26
James Bradley Osborn,JBO2839,40,47,21,19,28
Jeanette Tallulah Carroll,JTC0941,42,26,41,45,26
Iona Kendall Allison,IKA2925,49,15,16,16,34
Josiah Sloane Neal,JSN1905,38,37,21,36,25
Jeanette Rhona Levine,JRL2365,33,22,23,24,38
Grant Jin Baird,GJB0850,37,42,38,43,32
Lana Myra Davidson,LMD2804,17,42,34,42,35
Kai Melissa Bradford,KMB3003,39,43,14,38,32
Leila Whilemina Valdez,LWV1525,47,40,34,37,21
Rebecca Blythe Booker,RBB3867,17,28,19,50,25
Aiko Rebecca Frost,ARF0575,48,13,43,20,30
Wyoming Sage Clay,WSC2981,47,24,17,23,26
Hilda Kellie Townsend,HKT1778,10,35,25,45,24
Meredith Anne Solomon,MAS3218,39,14,37,44,23
Margaret Jennifer Gallagher,MJG2304,46,39,20,31,31
Charissa Christine Hatfield,CCH1508,25,30,45,34,31
Hedy Darryl Noble,HDN2609,37,30,19,43,31
Fay Cheyenne Mcfadden,FCM3926,16,27,43,26,31
Deborah Marcia Richards,DMR0336,19,25,45,32,28
Xyla Alea Berg,XAB0936,42,22,21,21,32
Lucius Cole Buckley,LCB2041,37,41,42,20,30
Zahir Jakeem Boyd,ZJB0552,41,24,43,14,31
Alea Kameko Phillips,AKP3573,10,28,44,38,30
Jade Rebekah Austin,JRA0522,10,20,24,13,29
Rhea Lydia Stein,RLS1738,21,15,37,19,28
Cullen Walter Klein,CWK2870,39,41,20,15,31
Brynne Ramona Hendrix,BRH1107,19,26,18,22,33
Thomas Edward Ferguson,TEF3555,39,48,39,33,28
Gillian Eliana Hill,GEH0420,47,37,12,44,32
Vivien Carly Vaughan,VCV2521,40,10,44,40,30
Lisandra Jane Reid,LJR0253,44,18,41,41,27
Robert Peter Hull,RPH2326,48,42,13,14,33
Fitzgerald Justin Oliver,FJO1828,38,31,16,22,24
Janna Ima Gibbs,JIG1936,27,22,26,25,30
Odette Aileen Slater,OAS0991,39,21,14,19,30
Caleb Rooney Thomas,CRT2273,34,38,45,18,35
Karen Germane Rosa,KGR2815,21,10,44,42,37
Aurora Celeste Hogan,ACH1910,15,13,18,21,27
Whoopi Daryl Stevens,WDS2197,41,23,15,42,34
Tobias James Meadows,TJM0328,31,38,44,17,35
Jessamine Jena Stuart,JJS2973,17,21,21,40,35
Ulla Daryl Willis,UDW0487,27,24,18,16,26
Sydnee Hyacinth Bullock,SHB2106,44,16,38,25,27
Phillip Cody Turner,PCT1234,46,32,34,22,24
Kirby Aiko Vaughan,KAV2926,34,24,28,36,35
Alice Deborah Sawyer,ADS0763,26,18,22,38,35
Sade Kendall Guthrie,SKG1731,26,19,43,18,23
Imelda Sheila Jimenez,ISJ1479,39,44,12,39,27
Charde Anika Gamble,CAG2236,18,27,44,37,35
Yvonne Kellie Walters,YKW3832,33,27,45,41,28
Asher Victor Campbell,AVC2328,32,38,38,24,27
Chelsea Scarlet Price,CSP2186,36,32,21,40,22
Dominic Benjamin Gonzalez,DBG0477,48,41,50,18,36
Hasad Phillip Robbins,HPR2023,38,42,50,34,37
Hilel Aladdin Rodriquez,HAR3571,43,34,39,39,31
Nolan Jelani Merritt,NJM0440,43,20,43,20,32
Ivan Brock Wood,IBW1779,42,50,18,43,29
Brody Vernon Bonner,BVB1673,32,39,22,36,39
Daria Dahlia Francis,DDF2937,34,26,31,30,29
Nina Desiree Howard,NDH3827,25,15,38,42,35
Nicolas Luke Sellers,NLS1866,42,16,45,11,26
Medge Kirby Mooney,MKM0647,12,20,37,15,19
Dylan Carter Rodriguez,DCR1531,41,42,21,29,25
