employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor
Nicholas Fletcher Pruitt,NFP2441,Nicholas.Fletcher.Pruitt@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,8 - ElectronicSecurity,Madison Charissa Malone
Abraham Dante Rodgers,ADR1517,Abraham.Dante.Rodgers@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,Mark William Horne
Medge Wilma Blackburn,MWB4000,Medge.Wilma.Blackburn@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,14 - AssemblyDept,Hillary Zenaida Adkins
Meghan Laurel Salazar,MLS2856,Meghan.Laurel.Salazar@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,8 - AssemblyDept,Demetria Sage Melendez
Beau Todd Romero,BTR2026,Beau.Todd.Romero@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,16 - TestAndEvalualtion,Elijah Valentine Fuentes
Zephania Chaim Terry,ZCT1009,Zephania.Chaim.Terry@dtaa.com,Manager,Project 31,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,5 - DesktopSoftware,Aidan Ryder Bird
Sierra Emily Mendez,SEM1983,Sierra.Emily.Mendez@dtaa.com,MaterialsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,14 - MaterialsEngineering,Yasir Davis Moore
Bell Daria White,BDW1459,Bell.Daria.White@dtaa.com,ComputerScientist,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,10 - SystemsEngineering,Zenia Basia Whitley
Fulton August Jackson,FAJ3101,Fulton.August.Jackson@dtaa.com,SystemsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,24 - SystemsEngineering,Hop Alfonso Palmer
Carl Louis Rice,CLR1239,Carl.Louis.Rice@dtaa.com,HardwareEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,6 - EmbeddedSoftware,Scarlet Genevieve Contreras
Lucius Orlando Patton,LOP1708,Lucius.Orlando.Patton@dtaa.com,Manager,Project 13,1,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,8 - DesktopSoftware,Reed Charles Fletcher
Garth Kenyon Kirkland,GKK2422,Garth.Kenyon.Kirkland@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,7 - BuildingSecurity,Armand Myles Jimenez
Micah Yoshio Bass,MYB3817,Micah.Yoshio.Bass@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,6 - RegionalFieldService,Uriah Sean Collins
James Bradley Osborn,JBO2839,James.Bradley.Osborn@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,7 - Stockroom,Britanney Ursa Shepard
Jeanette Tallulah Carroll,JTC0941,Jeanette.Tallulah.Carroll@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,Jessamine Madeson Eaton
Iona Kendall Allison,IKA2925,Iona.Kendall.Allison@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,4 - RegionalFieldService,Nolan Jerome Wagner
Josiah Sloane Neal,JSN1905,Josiah.Sloane.Neal@dtaa.com,Scientist,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,3 - Lab,Quincy Joshua Olsen
Jeanette Rhona Levine,JRL2365,Jeanette.Rhona.Levine@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,Rhea Lydia Stein
Grant Jin Baird,GJB0850,Grant.Jin.Baird@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,Hammett Zeus Hodge
Lana Myra Davidson,LMD2804,Lana.Myra.Davidson@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,8 - AssemblyDept,Kuame Alvin Henry
Kai Melissa Bradford,KMB3003,Kai.Melissa.Bradford@dtaa.com,ChiefEngineer,Project 1,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,23 - ElectricalEngineering,Zahir Byron Wells
Leila Whilemina Valdez,LWV1525,Leila.Whilemina.Valdez@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,Mark William Horne
Rebecca Blythe Booker,RBB3867,Rebecca.Blythe.Booker@dtaa.com,Mathematician,,1,2 - ResearchAndEngineering_Commercial,2 - Research,7 - Lab,Zelda Aretha Wallace
Aiko Rebecca Frost,ARF0575,Aiko.Rebecca.Frost@dtaa.com,HardwareEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,5 - SystemsEngineering,Dora Aretha Macdonald
